customer_state,delivered_orders,avg_delivery_days,late_orders,on_time_orders,late_delivery_percentage
AL,397,24.5,95,302,23.93
MA,717,21.51,141,576,19.67
PI,476,19.39,76,400,15.97
CE,1279,21.2,196,1083,15.32
SE,335,21.46,51,284,15.22
BA,3256,19.28,457,2799,14.04
RJ,12353,15.24,1664,10689,13.47
TO,274,17.6,35,239,12.77
PA,946,23.73,117,829,12.37
ES,1995,15.72,244,1751,12.23
RR,41,29.34,5,36,12.20
MS,701,15.54,81,620,11.55
PB,517,20.39,57,460,11.03
PE,1593,18.4,172,1421,10.80
RN,474,19.22,51,423,10.76
SC,3547,14.91,346,3201,9.75
GO,1957,15.54,160,1797,8.18
RS,5344,15.25,382,4962,7.15
DF,2080,12.9,147,1933,7.07
MT,886,18.0,60,826,6.77
SP,40495,8.7,2387,38108,5.89
MG,11355,11.95,638,10717,5.62
PR,4923,11.94,246,4677,5.00
AP,67,27.18,3,64,4.48
AM,145,26.36,6,139,4.14
AC,80,21.0,3,77,3.75
RO,243,19.28,7,236,2.88
