year,month_number,month_name,total_orders,monthly_revenue,previous_month_revenue,revenue_change,growth_percentage
2016,9,September,4,252.24,,,
2016,10,October,324,59090.48,252.24,58838.24,23326.29
2016,12,December,1,19.62,59090.48,-59070.86,-99.97
2017,1,January,800,138488.04,19.62,138468.42,705751.38
2017,2,February,1780,291908.01,138488.04,153419.97,110.78
2017,3,March,2682,449863.6,291908.01,157955.59,54.11
2017,4,April,2404,417788.03,449863.6,-32075.57,-7.13
2017,5,May,3700,592918.82,417788.03,175130.79,41.92
2017,6,June,3245,511276.38,592918.82,-81642.44,-13.77
2017,7,July,4026,592382.92,511276.38,81106.54,15.86
2017,8,August,4331,674396.32,592382.92,82013.4,13.84
2017,9,September,4285,727762.45,674396.32,53366.13,7.91
2017,10,October,4631,779677.88,727762.45,51915.43,7.13
2017,11,November,7544,1194882.8,779677.88,415204.92,53.25
2017,12,December,5673,878401.48,1194882.8,-316481.32,-26.49
2018,1,January,7269,1115004.18,878401.48,236602.7,26.94
2018,2,February,6728,992463.34,1115004.18,-122540.84,-10.99
2018,3,March,7211,1159652.12,992463.34,167188.78,16.85
2018,4,April,6939,1160785.48,1159652.12,1133.36,0.1
2018,5,May,6873,1153982.15,1160785.48,-6803.33,-0.59
2018,6,June,6167,1023880.5,1153982.15,-130101.65,-11.27
2018,7,July,6292,1066540.75,1023880.5,42660.25,4.17
2018,8,August,6512,1022425.32,1066540.75,-44115.43,-4.14
2018,9,September,16,4439.54,1022425.32,-1017985.78,-99.57
2018,10,October,4,589.67,4439.54,-3849.87,-86.72
