order_date,daily_orders,daily_revenue,cumulative_revenue,cumulative_revenue_percentage,seven_day_avg_revenue
2016-09-04,1,136.23,136.23,0.0,136.23
2016-09-05,1,75.06,211.29,0.0,105.65
2016-09-13,1,40.95,252.24,0.0,84.08
2016-09-15,1,0.0,252.24,0.0,63.06
2016-10-02,1,109.34,361.58,0.0,72.32
2016-10-03,8,595.14,956.72,0.01,159.45
2016-10-04,63,11914.65,12871.37,0.08,1838.77
2016-10-05,47,10212.22,23083.59,0.14,3278.19
2016-10-06,51,9398.61,32482.2,0.2,4610.13
2016-10-07,46,8255.19,40737.39,0.25,5783.59
2016-10-08,42,9716.13,50453.52,0.32,7171.61
2016-10-09,26,4152.11,54605.63,0.34,7749.15
2016-10-10,39,4675.1,59280.73,0.37,8332.0
2016-10-22,1,61.99,59342.72,0.37,6638.76
2016-12-23,1,19.62,59362.34,0.37,5182.68
2017-01-05,32,707.27,60069.61,0.38,3941.06
2017-01-06,4,988.28,61057.89,0.38,2902.93
2017-01-07,4,1447.99,62505.88,0.39,1721.77
2017-01-08,6,809.63,63315.51,0.4,1244.27
2017-01-09,5,774.51,64090.02,0.4,687.04
2017-01-10,6,1571.17,65661.19,0.41,902.64
2017-01-11,12,3062.33,68723.52,0.43,1337.31
2017-01-12,13,2502.69,71226.21,0.44,1593.8
2017-01-13,12,2903.97,74130.18,0.46,1867.47
2017-01-14,18,1507.36,75637.54,0.47,1875.95
2017-01-15,14,2551.34,78188.88,0.49,2124.77
2017-01-16,19,3712.24,81901.12,0.51,2544.44
2017-01-17,32,3893.61,85794.73,0.54,2876.22
2017-01-18,33,4683.38,90478.11,0.57,3107.8
2017-01-19,29,4140.16,94618.27,0.59,3341.72
2017-01-20,29,4698.07,99316.34,0.62,3598.02
2017-01-21,24,3094.76,102411.1,0.64,3824.79
2017-01-22,31,4280.22,106691.32,0.67,4071.78
2017-01-23,39,7553.89,114245.21,0.71,4620.58
2017-01-24,40,6794.5,121039.71,0.76,5035.0
2017-01-25,63,10434.31,131474.02,0.82,5856.56
2017-01-26,86,15191.96,146665.98,0.92,7435.39
2017-01-27,62,12904.13,159570.11,1.0,8607.68
2017-01-28,29,5909.98,165480.09,1.03,9009.86
2017-01-29,35,7160.66,172640.75,1.08,9421.35
2017-01-30,53,12187.9,184828.65,1.15,10083.35
2017-01-31,70,13021.73,197850.38,1.24,10972.95
2017-02-01,73,10310.99,208161.37,1.3,10955.34
2017-02-02,69,10676.54,218837.91,1.37,10310.28
2017-02-03,60,11639.19,230477.1,1.44,10129.57
2017-02-04,67,15747.17,246224.27,1.54,11534.88
2017-02-05,75,10153.24,256377.51,1.6,11962.39
2017-02-06,85,11626.0,268003.51,1.67,11882.12
2017-02-07,112,16627.21,284630.72,1.78,12397.19
2017-02-08,95,14299.97,298930.69,1.87,12967.05
2017-02-09,77,10844.17,309774.86,1.94,12990.99
2017-02-10,66,15674.09,325448.95,2.03,13567.41
2017-02-11,49,5648.37,331097.32,2.07,12124.72
2017-02-12,64,16682.29,347779.61,2.17,13057.44
2017-02-13,78,13092.09,360871.7,2.25,13266.88
2017-02-14,76,15309.08,376180.78,2.35,13078.58
2017-02-15,62,8326.4,384507.18,2.4,12225.21
2017-02-16,55,7803.72,392310.9,2.45,11790.86
2017-02-17,46,8093.57,400404.47,2.5,10707.93
2017-02-18,54,9308.3,409712.77,2.56,11230.78
2017-02-19,40,4477.65,414190.42,2.59,9487.26
2017-02-20,63,9157.3,423347.72,2.64,8925.15
2017-02-21,41,9333.46,432681.18,2.7,8071.49
2017-02-22,63,9393.37,442074.55,2.76,8223.91
2017-02-23,59,8571.86,450646.41,2.81,8333.64
2017-02-24,64,7983.01,458629.42,2.86,8317.85
2017-02-25,43,5126.18,463755.6,2.9,7720.4
2017-02-26,46,6583.5,470339.1,2.94,8021.24
2017-02-27,43,6836.77,477175.87,2.98,7689.74
2017-02-28,55,12582.52,489758.39,3.06,8153.89
2017-03-01,99,18923.17,508681.56,3.18,9515.29
2017-03-02,72,13146.36,521827.92,3.26,10168.79
2017-03-03,74,14154.71,535982.63,3.35,11050.46
2017-03-04,80,15533.69,551516.32,3.45,12537.25
2017-03-05,74,8789.14,560305.46,3.5,12852.34
2017-03-06,105,13515.12,573820.58,3.58,13806.39
2017-03-07,82,13855.37,587675.95,3.67,13988.22
2017-03-08,79,16769.66,604445.61,3.78,13680.58
2017-03-09,93,13828.33,618273.94,3.86,13778.0
2017-03-10,88,14518.92,632792.86,3.95,13830.03
2017-03-11,71,12503.97,645296.83,4.03,13397.22
2017-03-12,64,7853.18,653150.01,4.08,13263.51
2017-03-13,111,19306.06,672456.07,4.2,14090.78
2017-03-14,99,16542.98,688999.05,4.3,14474.73
2017-03-15,108,17364.91,706363.96,4.41,14559.76
2017-03-16,103,16653.72,723017.68,4.52,14963.39
2017-03-17,65,13611.28,736628.96,4.6,14833.73
2017-03-18,73,17943.07,754572.03,4.71,15610.74
2017-03-19,56,7728.08,762300.11,4.76,15592.87
2017-03-20,119,20014.93,782315.04,4.89,15694.14
2017-03-21,97,14937.51,797252.55,4.98,15464.79
2017-03-22,105,16390.14,813642.69,5.08,15325.53
2017-03-23,114,22913.37,836556.06,5.23,16219.77
2017-03-24,79,13386.91,849942.97,5.31,16187.72
2017-03-25,76,11251.74,861194.71,5.38,15231.81
2017-03-26,64,7642.02,868836.73,5.43,15219.52
2017-03-27,111,20549.29,889386.02,5.56,15295.85
2017-03-28,103,14838.58,904224.6,5.65,15281.72
2017-03-29,74,10209.11,914433.71,5.71,14398.72
2017-03-30,74,11435.0,925868.71,5.78,12758.95
2017-03-31,70,13753.28,939621.99,5.87,12811.29
2017-04-01,68,20574.68,960196.67,6.0,14143.14
2017-04-02,65,10608.62,970805.29,6.06,14566.94
2017-04-03,72,10776.9,981582.19,6.13,13170.88
2017-04-04,96,14152.99,995735.18,6.22,13072.94
2017-04-05,96,20774.55,1016509.73,6.35,14582.29
2017-04-06,96,26863.58,1043373.31,6.52,16786.37
2017-04-07,85,15043.72,1058417.03,6.61,16970.72
2017-04-08,68,10290.74,1068707.77,6.68,15501.59
2017-04-09,73,9689.41,1078397.18,6.74,15370.27
2017-04-10,87,13492.1,1091889.28,6.82,15758.16
2017-04-11,78,9878.09,1101767.37,6.88,15147.46
2017-04-12,63,9407.94,1111175.31,6.94,13523.65
2017-04-13,60,11216.11,1122391.42,7.01,11288.3
2017-04-14,54,10515.9,1132907.32,7.08,10641.47
2017-04-15,52,9391.56,1142298.88,7.14,10513.02
2017-04-16,49,6532.21,1148831.09,7.18,10061.99
2017-04-17,65,10765.57,1159596.66,7.24,9672.48
2017-04-18,71,23433.86,1183030.52,7.39,11609.02
2017-04-19,97,13941.25,1196971.77,7.48,12256.64
2017-04-20,98,16056.0,1213027.77,7.58,12948.05
2017-04-21,68,10162.6,1223190.37,7.64,12897.58
2017-04-22,84,15005.06,1238195.43,7.73,13699.51
2017-04-23,88,11839.91,1250035.34,7.81,14457.75
2017-04-24,115,17711.57,1267746.91,7.92,15450.04
2017-04-25,111,17176.35,1284923.26,8.03,14556.11
2017-04-26,125,18696.09,1303619.35,8.14,15235.37
2017-04-27,80,12455.1,1316074.45,8.22,14720.95
2017-04-28,98,18063.29,1334137.74,8.33,15849.62
2017-04-29,74,13835.28,1347973.02,8.42,15682.51
2017-04-30,68,9437.0,1357410.02,8.48,15339.24
2017-05-01,117,14869.67,1372279.69,8.57,14933.25
2017-05-02,128,20673.08,1392952.77,8.7,15432.79
2017-05-03,103,12192.34,1405145.11,8.78,14503.68
2017-05-04,109,15901.72,1421046.83,8.88,14996.05
2017-05-05,111,16584.58,1437631.41,8.98,14784.81
2017-05-06,109,19227.55,1456858.96,9.1,15555.13
2017-05-07,111,20467.98,1477326.94,9.23,17130.99
2017-05-08,124,19194.68,1496521.62,9.35,17748.85
2017-05-09,128,24245.05,1520766.67,9.5,18259.13
2017-05-10,116,23418.4,1544185.07,9.65,19862.85
2017-05-11,126,21204.04,1565389.11,9.78,20620.33
2017-05-12,115,15314.46,1580703.57,9.87,20438.88
2017-05-13,73,10675.67,1591379.24,9.94,19217.18
2017-05-14,112,17551.83,1608931.07,10.05,18800.59
2017-05-15,157,21907.01,1630838.08,10.19,19188.07
2017-05-16,153,24535.57,1655373.65,10.34,19229.57
2017-05-17,141,21396.33,1676769.98,10.47,18940.7
2017-05-18,125,20861.79,1697631.77,10.6,18891.81
2017-05-19,144,21525.09,1719156.86,10.74,19779.04
2017-05-20,72,12364.17,1731521.03,10.82,20020.26
2017-05-21,148,20368.53,1751889.56,10.94,20422.64
2017-05-22,148,28906.6,1780796.16,11.12,21422.58
2017-05-23,125,20622.47,1801418.63,11.25,20863.57
2017-05-24,142,26991.95,1828410.58,11.42,21662.94
2017-05-25,108,18420.66,1846831.24,11.54,21314.21
2017-05-26,80,12680.52,1859511.76,11.62,20050.7
