customer_state,total_orders,total_customers,total_revenue,avg_order_value,avg_delivery_days,revenue_rank,revenue_quartile,performance_tier,revenue_share_percentage
SP,41746,40302,5998226.96,143.68,8.7,1,1,Top Performing,37.47
RJ,12852,12384,2144379.69,166.85,15.24,2,1,Top Performing,13.39
MG,11635,11259,1872257.26,160.92,11.95,3,1,Top Performing,11.7
RS,5466,5277,890898.54,162.99,15.25,4,1,Top Performing,5.57
PR,5045,4882,811156.38,160.78,11.94,5,1,Top Performing,5.07
SC,3637,3534,623086.43,171.32,14.91,6,1,Top Performing,3.89
BA,3380,3277,616645.82,182.44,19.28,7,1,Top Performing,3.85
DF,2140,2075,355141.08,165.95,12.9,8,2,High Performing,2.22
GO,2020,1952,350092.31,173.31,15.54,9,2,High Performing,2.19
ES,2033,1964,325967.55,160.34,15.72,10,2,High Performing,2.04
PE,1652,1609,324850.44,196.64,18.4,11,2,High Performing,2.03
CE,1336,1313,279464.03,209.18,21.2,12,2,High Performing,1.75
PA,975,949,218295.85,223.89,23.73,13,2,High Performing,1.36
MT,907,876,187029.29,206.21,18.0,14,2,High Performing,1.17
MA,747,726,152523.02,204.18,21.51,15,3,Medium Performing,0.95
PB,536,519,141545.72,264.08,20.39,16,3,Medium Performing,0.88
MS,715,694,137534.84,192.36,15.54,17,3,Medium Performing,0.86
PI,495,482,108523.97,219.24,19.39,18,3,Medium Performing,0.68
RN,485,474,102718.13,211.79,19.22,19,3,Medium Performing,0.64
AL,413,401,96962.06,234.77,24.5,20,3,Medium Performing,0.61
SE,350,342,75246.25,214.99,21.46,21,3,Medium Performing,0.47
TO,280,273,61485.33,219.59,17.6,22,4,Low Performing,0.38
RO,253,240,60866.2,240.58,19.28,23,4,Low Performing,0.38
AM,148,143,27966.93,188.97,26.36,24,4,Low Performing,0.17
AC,81,77,19680.62,242.97,21.0,25,4,Low Performing,0.12
AP,68,67,16262.8,239.16,27.18,26,4,Low Performing,0.1
RR,46,45,10064.62,218.8,29.34,27,4,Low Performing,0.06
